Z,N,symbol,start level #,start level energy [keV], unc, start level jp,final level #,final level energy [keV], unc,final level jp, idx, energy [keV], unc, relative intensity , unc, multipolarity, mixing ratio, unc, B(E1), B(E1) unc, B(E2), B(E2) unc, B(M1), B(M1) unc, B(M2), B(M2) unc,tot conv coeff,unc,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
32,44,Ge,1,562.93,0.03,2+,0,0, ,0+,0,562.93,0.03,100, ,E2, , , , ,29, , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,2,1108.44,0.04,2+,1,562.93,0.03,2+,0,545.51,0.03,100,2,E2+M1,3.5,1.5, , ,42, ,0.0008, , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,2,1108.44,0.04,2+,0,0, ,0+,1,1108.41,0.08,68,7,E2, , , , ,0.9, , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,3,1410.08,0.05,4+,1,562.93,0.03,2+,0,847.15,0.05,100, ,E2, , , , ,38, , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,4,1539.46,0.06,3(+),2,1108.44,0.04,2+,0,431,0.5,100,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,4,1539.46,0.06,3(+),1,562.93,0.03,2+,1,976.5,0.05,50,2,D+Q, , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,5,1911.07,0.11,0+,1,562.93,0.03,2+,0,1348.13,0.13,100, , , , , , ,7.4, , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,6,2019.87,0.1,(4+),2,1108.44,0.04,2+,0,911.4,0.1,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,7,2204.9,0.4,(1 2+),2,1108.44,0.04,2+,0,1097.4,0.5, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,7,2204.9,0.4,(1 2+),0,0, ,0+,1,2203.8,0.5, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,8,2284.22,0.24,(3)-,2,1108.44,0.04,2+,0,1175.7,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,10,2478.2,0.5,(1 2+),1,562.93,0.03,2+,0,1915,1, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,10,2478.2,0.5,(1 2+),0,0, ,0+,1,2478.2,0.5, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,11,2503.6,0.4,2+,2,1108.44,0.04,2+,0,1395.1,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,11,2503.6,0.4,2+,0,0, ,0+,1,2503.6,0.5,43, , , , , , ,0.4, , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,13,2591.1,0.16,(1+ 2+),4,1539.46,0.06,3(+),0,1051.7,0.2,95,14, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,13,2591.1,0.16,(1+ 2+),2,1108.44,0.04,2+,1,1482.5,0.3,100,15, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,13,2591.1,0.16,(1+ 2+),0,0, ,0+,2,2591,0.4,55,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,15,2654.51,0.21,(LE 4),2,1108.44,0.04,2+,0,1546,0.4,100,20, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,15,2654.51,0.21,(LE 4),1,562.93,0.03,2+,1,2091.9,0.4,42,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,16,2692.4,0.08,3-,3,1410.08,0.05,4+,0,1282.9,0.4,13, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,16,2692.4,0.08,3-,2,1108.44,0.04,2+,1,1583.9,0.5,9,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,16,2692.4,0.08,3-,1,562.93,0.03,2+,2,2129.46,0.08,100,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,16,2692.4,0.08,3-,0,0, ,0+,3,2691.6,0.4,7,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,17,2733.4,0.7,4+,4,1539.46,0.06,3(+),0,1194,0.5, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,18,2747.76,0.08,(1 TO 4),4,1539.46,0.06,3(+),0,1208.02,0.13,28,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,18,2747.76,0.08,(1 TO 4),2,1108.44,0.04,2+,1,1639.3,0.1,100,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,18,2747.76,0.08,(1 TO 4),1,562.93,0.03,2+,2,2185.2,0.17,9,1, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,19,2768.76,0.14,2+,3,1410.08,0.05,4+,0,1358.9,0.6,24,8, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,19,2768.76,0.14,2+,2,1108.44,0.04,2+,1,1660.3,0.14,100,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,20,2841.57,0.13,2+,2,1108.44,0.04,2+,0,1732.7,0.25,100,9, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,20,2841.57,0.13,2+,1,562.93,0.03,2+,1,2278.8,0.17,61,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,21,2897.7,0.5,0+,1,562.93,0.03,2+,0,2334.7,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,22,2919.79,0.07,(1 2+),2,1108.44,0.04,2+,0,1811.1,0.12,9.2,0.6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,22,2919.79,0.07,(1 2+),1,562.93,0.03,2+,1,2356.88,0.12,27,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,22,2919.79,0.07,(1 2+),0,0, ,0+,2,2919.85,0.1,100,4, , , , , ,0.5, , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,26,3007.8,0.4,(1 2+),2,1108.44,0.04,2+,0,1898.3,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,26,3007.8,0.4,(1 2+),0,0, ,0+,1,3008.6,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,27,3041,0.6,(2+),5,1911.07,0.11,0+,0,1130.2,0.5, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,27,3041,0.6,(2+),1,562.93,0.03,2+,1,2477.7,0.5, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,28,3052.5,0.7,(1 TO 5),4,1539.46,0.06,3(+),0,1513.1,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,31,3131.8,0.7,(LE 4),2,1108.44,0.04,2+,0,2023.3,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,32,3141.51,0.07,2+,5,1911.07,0.11,0+,0,1230.2,0.5, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,32,3141.51,0.07,2+,1,562.93,0.03,2+,1,2578.55,0.09,53,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,32,3141.51,0.07,2+,0,0, ,0+,2,3141.4,0.1,100,5, , , , , ,1.1, , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,34,3182.21,0.06,(2+),4,1539.46,0.06,3(+),0,1642.8,0.15,22,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,34,3182.21,0.06,(2+),2,1108.44,0.04,2+,1,2073.75,0.07,100,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,34,3182.21,0.06,(2+),1,562.93,0.03,2+,2,2619.2,0.1,53,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,37,3231.8,0.4,4+,1,562.93,0.03,2+,0,2668.8,0.4,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,39,3312.33,0.12,3-,3,1410.08,0.05,4+,0,1902.2,0.2,31,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,39,3312.33,0.12,3-,2,1108.44,0.04,2+,1,2203.86,0.16,100,8, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,41,3322.85,0.07,(2+ 3 4+),3,1410.08,0.05,4+,0,1912.7,0.1,26,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,41,3322.85,0.07,(2+ 3 4+),2,1108.44,0.04,2+,1,2214.36,0.08,100,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,41,3322.85,0.07,(2+ 3 4+),1,562.93,0.03,2+,2,2759.95,0.14,49,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,42,3334.7,0.3,(2+),3,1410.08,0.05,4+,0,1924.6,0.3,100,14, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,42,3334.7,0.3,(2+),0,0, ,0+,1,3334.6,0.5,97,21, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,45,3409.19,0.19,(1 TO 4),18,2747.76,0.08,(1 TO 4),0,661.4,0.2,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,46,3420.4,0.5,(1 2+),0,0, ,0+,0,3420.3,0.5,100, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,49,3477.65,0.17,(1 TO 4),32,3141.51,0.07,2+,0,335.9,0.5,100,25, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,49,3477.65,0.17,(1 TO 4),2,1108.44,0.04,2+,1,2369.8,0.6,5,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,49,3477.65,0.17,(1 TO 4),1,562.93,0.03,2+,2,2914.6,0.2,14,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,50,3484.1,0.9,3-,3,1410.08,0.05,4+,0,2074,1, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,50,3484.1,0.9,3-,1,562.93,0.03,2+,1,2921,1, , , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,56,3632.75,0.1,(2+),6,2019.87,0.1,(4+),0,1612.7,0.3,49,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,56,3632.75,0.1,(2+),5,1911.07,0.11,0+,1,1721.9,0.7,16,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,56,3632.75,0.1,(2+),2,1108.44,0.04,2+,2,2524,0.2,86,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,56,3632.75,0.1,(2+),1,562.93,0.03,2+,3,3069.9,0.13,100,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,68,3887.05,0.19,(3-),4,1539.46,0.06,3(+),0,2347.4,0.25,55,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,68,3887.05,0.19,(3-),3,1410.08,0.05,4+,1,2476.6,0.4,27,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,68,3887.05,0.19,(3-),2,1108.44,0.04,2+,2,2779.1,0.4,100,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,68,3887.05,0.19,(3-),1,562.93,0.03,2+,3,3325.2,1.2,14,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,69,3951.89,0.07,(1 2+),16,2692.4,0.08,3-,0,1259.9,0.5,7,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,69,3951.89,0.07,(1 2+),5,1911.07,0.11,0+,1,2040.7,0.25,8,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,69,3951.89,0.07,(1 2+),2,1108.44,0.04,2+,2,2843.5,0.09,38,2, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,69,3951.89,0.07,(1 2+),1,562.93,0.03,2+,3,3388.75,0.12,67,4, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,69,3951.89,0.07,(1 2+),0,0, ,0+,4,3951.7,0.14,100,8, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,76,4122.3,0.4,(1 2+),1,562.93,0.03,2+,0,3559.5,0.4,100,8, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,76,4122.3,0.4,(1 2+),0,0, ,0+,1,4121.8,0.5,43,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,78,4192.85,0.12,(2+ 3 4+),22,2919.79,0.07,(1 2+),0,1273.05,0.1,100,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,78,4192.85,0.12,(2+ 3 4+),3,1410.08,0.05,4+,1,2782.7,0.4,84,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,80,4239.4,0.15,(1 TO 4),39,3312.33,0.12,3-,0,927.05,0.1,100,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,80,4239.4,0.15,(1 TO 4),2,1108.44,0.04,2+,1,3130.7,0.6,23,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,83,4326.5,0.2,(1 TO 4),39,3312.33,0.12,3-,0,1014.2,0.2,31,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,83,4326.5,0.2,(1 TO 4),16,2692.4,0.08,3-,1,1634,0.2,100,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,84,4363.5,0.2,4+,49,3477.65,0.17,(1 TO 4),0,885.83,0.1,100,8, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,84,4363.5,0.2,4+,22,2919.79,0.07,(1 2+),1,1443.9,0.5,20,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,88,4476.5,0.2,(LE 4),56,3632.75,0.1,(2+),0,843.8,0.2,100,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,88,4476.5,0.2,(LE 4),1,562.93,0.03,2+,1,3913.3,0.5,11,3, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,95,4719.9,0.2,(2 3 4),45,3409.19,0.19,(1 TO 4),0,1310.6,0.3,75,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,95,4719.9,0.2,(2 3 4),20,2841.57,0.13,2+,1,1878.3,0.2,98,11, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,95,4719.9,0.2,(2 3 4),8,2284.22,0.24,(3)-,2,2435.6,0.3,100,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,98,4784.1,0.3,(1 TO 4),41,3322.85,0.07,(2+ 3 4+),0,1461.2,0.3,74,15, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,98,4784.1,0.3,(1 TO 4),2,1108.44,0.04,2+,1,3675.6,0.45,100,11, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,99,4812.5,0.2,(2+ 3 4+),22,2919.79,0.07,(1 2+),0,1892.7,0.2,100,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,99,4812.5,0.2,(2+ 3 4+),3,1410.08,0.05,4+,1,3402.4,0.3,33,5, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,100,4814.8,0.3,(1 TO 4),56,3632.75,0.1,(2+),0,1182.1,0.3,100,15, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,100,4814.8,0.3,(1 TO 4),39,3312.33,0.12,3-,1,1502.3,0.5,96,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,104,5122.48,0.14,(1 TO 4),56,3632.75,0.1,(2+),0,1489.6,0.4,34,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,104,5122.48,0.14,(1 TO 4),34,3182.21,0.06,(2+),1,1940.3,0.14,100,7, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,104,5122.48,0.14,(1 TO 4),32,3141.51,0.07,2+,2,1980.4,0.5,32,6, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,106,5522.6,0.2,(1 TO 4),80,4239.4,0.15,(1 TO 4),0,1282.9,0.4,81, , , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,106,5522.6,0.2,(1 TO 4),20,2841.57,0.13,2+,1,2680.9,0.3,92,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,106,5522.6,0.2,(1 TO 4),15,2654.51,0.21,(LE 4),2,2868.1,0.2,100,14, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),34,3182.21,0.06,(2+),0,2481.1,0.4,50,10, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),16,2692.4,0.08,3-,1,2970.9,0.15,100,12, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),5,1911.07,0.11,0+,2,3752.1,0.5,42,9, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,107,5663.37,0.15,(2+),3,1410.08,0.05,4+,3,4253.3,0.5,57,9, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,108,5749.9,0.4,(1 TO 4),19,2768.76,0.14,2+,0,2981.2,0.4,100,20, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,108,5749.9,0.4,(1 TO 4),8,2284.22,0.24,(3)-,1,3465.5,0.4,68,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,109,5883,0.3,(1 TO 4),34,3182.21,0.06,(2+),0,2700.5,0.4,94,16, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,109,5883,0.3,(1 TO 4),16,2692.4,0.08,3-,1,3190.6,0.3,100,13, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,110,6021.1,0.3,(1 TO 4),16,2692.4,0.08,3-,0,3328.7,0.8,100,30, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,110,6021.1,0.3,(1 TO 4),15,2654.51,0.21,(LE 4),1,3366.5,0.3,73,14, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,110,6021.1,0.3,(1 TO 4),8,2284.22,0.24,(3)-,2,3736.9,0.45,80,20, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,111,6065.2,0.4,(1 TO 4),34,3182.21,0.06,(2+),0,2882.9,0.9,47,16, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28
32,44,Ge,111,6065.2,0.4,(1 TO 4),22,2919.79,0.07,(1 2+),1,3145.3,0.4,100,20, , , , , , , , , , , , , ,22-Dec-1994,BALRAJ SINGH,2023-03-28

